ID of herb pairs,herb pairs
493,生地黄 牛膝
494,附子 莪术
495,葶苈子 桃仁
496,生地黄 川芎
497,蒲公英 牛膝
498,红花 荷叶
499,血竭 大黄
500,血竭 蒲黄
501,三棱 大黄
502,益母草 香附
503,益母草 当归
504,益母草 生地黄
505,益母草 小蓟
506,桃仁 八角茴香
507,乳香 瓜蒌
508,郁金 当归
509,苏木 人参
510,郁金 蒲黄
511,桃仁 荆芥
512,乳香 沉香
513,牛膝 何首乌
514,泽兰 防己
515,牛膝 草乌
516,桃仁 干姜
517,桃仁 大黄
518,郁金 大黄
519,姜黄 桂枝
520,葛根 丹参
521,桃仁 当归
522,乌药 川芎
523,丹参 川芎
524,香橼 刀豆
525,香附 安息香
526,黄山药 巴豆
527,老鹳草 白及
528,茜草 虎杖
529,延胡索 葶苈子
530,紫苏叶 枳壳
531,海风藤 刀豆
532,芦荟 灯心草
533,辛夷 茯苓
534,薏苡仁 冬瓜皮
535,金银花 佛手
536,人参 甘草
537,人参 大枣
538,人参 莲子
539,黄芪 甘草
540,白术 山药
541,白术 大枣
542,白术 甘草
543,甘草 大枣
544,莲子 山药
545,当归 生地黄
546,熟地黄 生地黄
547,白芍 当归
548,当归 龙眼肉
549,枸杞子 龙眼肉
550,当归 人参
551,生地黄 人参
552,熟地黄 人参
553,当归 黄芪
554,白术 熟地黄
555,白术 生地黄
556,白术 当归
557,枸杞子 黄精
558,熟地黄 天冬
559,生地黄 天冬
560,生地黄 麦冬
561,熟地黄 麦冬
562,天冬 麦冬
563,何首乌 黑芝麻
564,人参 麦冬
565,何首乌 西洋参
566,天冬 五味子
567,黄芪 五味子
568,百合 生地黄
569,苍术 麻黄
570,苍术 防风
571,防风 羌活
572,白芷 生姜
573,陈皮 紫苏叶
574,白芷 荆芥
575,草果 附子
576,丁香 附子
577,丁香 干姜
578,干姜 草乌
579,附子 草乌
580,苍术 草乌
581,桂枝 草乌
582,桂枝 生姜
583,艾叶 干姜
584,艾叶 生姜
585,生姜 吴茱萸
586,干姜 吴茱萸
587,吴茱萸 肉桂
588,草乌 吴茱萸
589,厚朴 吴茱萸
590,草乌 香附
591,车前草 桑白皮
592,赤小豆 桑白皮
593,槟榔 石韦
594,槟榔 赤芍
595,草乌 天麻
596,天麻 草乌
597,草乌 荆芥
598,荆芥 草乌
599,草乌 赤芍
600,木瓜 五加皮
601,牛膝 威灵仙
602,独活 秦艽
603,独活 附子
604,附子 木瓜
605,附子 薏苡仁
606,白附子 附子
607,茯苓 厚朴
608,茯苓 乳香
609,附子 泽泻
610,葶苈子 吴茱萸
611,海金沙 郁金
612,丁香 柿蒂
613,丁香 陈皮
614,半夏 丁香
615,丁香 木香
616,豆蔻 丁香
617,丁香 枇杷叶
618,枇杷叶 砂仁
619,半夏 枇杷叶
620,陈皮 枇杷叶
621,川楝子 吴茱萸
622,巴豆 川楝子
623,小茴香 香附
624,葶苈子 苦杏仁
625,苦杏仁 莱菔子
626,枇杷叶 苦杏仁
627,桑白皮 吴茱萸
628,桑白皮 葶苈子
629,沉香 莱菔子
630,半夏 桑白皮
631,当归 延胡索
632,蒺藜 当归
633,川楝子 莪术
634,当归 陈皮
635,小茴香 山楂
636,大黄 葶苈子
637,大黄 牵牛子
638,大黄 枳壳
639,厚朴 大黄
640,牵牛子 槟榔
641,牵牛子 小茴香
642,牵牛子 木香
643,厚朴 牵牛子
644,牵牛子 甘遂
645,半夏 甘遂
646,甘遂 木香
647,薏苡仁 郁李仁
648,槟榔 使君子
649,芦荟 使君子
650,槟榔 苦楝皮
651,川芎 川楝子
652,白薇 生地黄
653,山楂 肉桂
654,麦芽 干姜
655,莱菔子 砂仁
656,半夏 附子
657,附子 天南星
658,半夏 天南星
659,生姜 天南星
660,半夏 干姜
661,半夏 生姜
662,半夏 茯苓
663,瓜蒌 黄连
664,瓜蒌 半夏
665,瓜蒌 竹茹
666,黄芩 半夏
667,大黄 天南星
668,厚朴 半夏
669,天南星 木香
670,瓜蒌 紫草
671,苦杏仁 知母
672,百合 知母
673,苦杏仁 紫菀
674,陈皮 甘草
675,海藻 昆布
676,海藻 黄柏
677,常山 草果
678,常山 槟榔
679,常山 前胡
680,常山 人参
681,常山 乌梅
682,青蒿 桂枝
683,白术 生姜
684,大黄 附子
